resnet:11939 langdetect:27451 lang2en:27899 E2E:55508
resnet:346 langdetect:1014 lang2en:85809 E2E:86975
resnet:584 langdetect:1126 lang2en:1759 E2E:3266
resnet:363 langdetect:1085 lang2en:1123 E2E:2241
resnet:299 langdetect:1047 lang2en:1766 E2E:2953
resnet:356 langdetect:1050 lang2en:1434 E2E:2458
resnet:345 langdetect:1068 lang2en:1951 E2E:3195
resnet:282 langdetect:998 lang2en:1014 E2E:2053
resnet:305 langdetect:1025 lang2en:1220 E2E:2311
resnet:392 langdetect:999 lang2en:1412 E2E:2932
resnet:362 langdetect:1106 lang2en:1767 E2E:2185
resnet:321 langdetect:1000 lang2en:1775 E2E:2524
resnet:291 langdetect:1046 lang2en:1708 E2E:2612
resnet:338 langdetect:1032 lang2en:1421 E2E:2060
resnet:312 langdetect:1024 lang2en:1871 E2E:2570
resnet:329 langdetect:968 lang2en:1730 E2E:2883
resnet:332 langdetect:1053 lang2en:1742 E2E:2954
resnet:344 langdetect:1010 lang2en:1828 E2E:2617
resnet:281 langdetect:987 lang2en:1694 E2E:2270
resnet:453 langdetect:1034 lang2en:1215 E2E:2891
resnet:355 langdetect:1012 lang2en:1940 E2E:2572
resnet:343 langdetect:1022 lang2en:1302 E2E:2549
resnet:288 langdetect:972 lang2en:1728 E2E:2986
resnet:307 langdetect:1204 lang2en:1728 E2E:2470
resnet:296 langdetect:1025 lang2en:1296 E2E:2369
resnet:390 langdetect:1014 lang2en:1820 E2E:3050
resnet:312 langdetect:981 lang2en:1274 E2E:2705
resnet:294 langdetect:1018 lang2en:1189 E2E:2080
resnet:293 langdetect:1090 lang2en:1363 E2E:2594
resnet:390 langdetect:973 lang2en:1252 E2E:2849
resnet:264 langdetect:1095 lang2en:1977 E2E:3015
resnet:302 langdetect:1004 lang2en:896 E2E:2049
resnet:287 langdetect:1037 lang2en:938 E2E:2175
resnet:420 langdetect:985 lang2en:1372 E2E:2999
resnet:284 langdetect:1053 lang2en:1190 E2E:2906
resnet:273 langdetect:963 lang2en:888 E2E:2126
resnet:326 langdetect:1033 lang2en:1238 E2E:2381
resnet:290 langdetect:986 lang2en:1445 E2E:3081
resnet:323 langdetect:1010 lang2en:1106 E2E:2441
resnet:397 langdetect:1010 lang2en:1400 E2E:2910
resnet:294 langdetect:947 lang2en:1259 E2E:2833
resnet:272 langdetect:998 lang2en:1142 E2E:2446
resnet:315 langdetect:1002 lang2en:1176 E2E:2240
resnet:303 langdetect:993 lang2en:1837 E2E:2232
resnet:302 langdetect:999 lang2en:1730 E2E:3083
resnet:362 langdetect:1070 lang2en:1423 E2E:3063
resnet:290 langdetect:986 lang2en:1431 E2E:2045
resnet:277 langdetect:992 lang2en:1738 E2E:2428
resnet:290 langdetect:1018 lang2en:1446 E2E:2456
resnet:308 langdetect:992 lang2en:1760 E2E:2613
resnet:408 langdetect:1006 lang2en:1726 E2E:2342
resnet:313 langdetect:1029 lang2en:1286 E2E:2534
resnet:273 langdetect:997 lang2en:1365 E2E:2051
resnet:257 langdetect:971 lang2en:1322 E2E:2373
resnet:384 langdetect:1000 lang2en:1687 E2E:3131
resnet:407 langdetect:988 lang2en:1312 E2E:2326
resnet:250 langdetect:965 lang2en:1656 E2E:2466
resnet:291 langdetect:982 lang2en:1705 E2E:2307
resnet:301 langdetect:999 lang2en:1876 E2E:3069
resnet:350 langdetect:1066 lang2en:1569 E2E:2751
resnet:414 langdetect:1041 lang2en:932 E2E:2451
resnet:257 langdetect:1046 lang2en:1965 E2E:3059
resnet:339 langdetect:1048 lang2en:1336 E2E:2798
resnet:330 langdetect:1038 lang2en:903 E2E:2462
resnet:268 langdetect:991 lang2en:1839 E2E:2999
resnet:279 langdetect:1034 lang2en:981 E2E:2239
resnet:298 langdetect:989 lang2en:1314 E2E:2869
resnet:336 langdetect:1050 lang2en:1377 E2E:2622
resnet:343 langdetect:999 lang2en:993 E2E:2483
resnet:307 langdetect:1006 lang2en:1088 E2E:3053
resnet:363 langdetect:1032 lang2en:1079 E2E:2622
resnet:299 langdetect:1050 lang2en:1944 E2E:2950
resnet:312 langdetect:1059 lang2en:902 E2E:2639
resnet:263 langdetect:1012 lang2en:1310 E2E:3107
resnet:271 langdetect:1010 lang2en:1492 E2E:3028
resnet:274 langdetect:1209 lang2en:934 E2E:3116
resnet:314 langdetect:966 lang2en:2005 E2E:2168
resnet:267 langdetect:984 lang2en:1335 E2E:2696
resnet:278 langdetect:1006 lang2en:1090 E2E:2889
resnet:323 langdetect:1006 lang2en:1922 E2E:2083
resnet:367 langdetect:1008 lang2en:1513 E2E:2447
resnet:297 langdetect:1076 lang2en:1861 E2E:2170
resnet:292 langdetect:1289 lang2en:1558 E2E:2513
resnet:276 langdetect:1004 lang2en:1048 E2E:2546
resnet:322 langdetect:1008 lang2en:1336 E2E:2496
resnet:372 langdetect:1031 lang2en:1924 E2E:2858
resnet:272 langdetect:1010 lang2en:1931 E2E:2469
resnet:330 langdetect:1035 lang2en:1857 E2E:2302
resnet:289 langdetect:997 lang2en:1028 E2E:2807
resnet:302 langdetect:1006 lang2en:1572 E2E:2946
resnet:268 langdetect:989 lang2en:937 E2E:2198
resnet:401 langdetect:1008 lang2en:912 E2E:3128
resnet:312 langdetect:1045 lang2en:1078 E2E:2312
resnet:335 langdetect:1035 lang2en:1099 E2E:2218
resnet:351 langdetect:1046 lang2en:1057 E2E:2117
resnet:308 langdetect:970 lang2en:1109 E2E:2965
resnet:277 langdetect:1137 lang2en:913 E2E:2324
resnet:284 langdetect:1004 lang2en:900 E2E:2744
resnet:362 langdetect:1078 lang2en:999 E2E:2575
resnet:323 langdetect:1014 lang2en:1568 E2E:2579
